Class	Rank	Thes	Engl	Phon	Chinese	Latin	Loglan	Xref	!Word	Lojban	definition (*=obj cpd, +n=1st case merge, -n=2nd case merge, Sn=set members, Pn=pairwise, @=merge but no cpd, ?=special merge, = =as needed)	Comments (c=ch,q=sh,x=zh,#=schwa,i=ee,y=bin,w=ng)
r		1.1.1	equal	iku#l	-qaw|duw	par	ciktu	dem,xim	qaw		in relation (vo) $x_1+2$ all the arguments $x_2:=$ repeated as needed, fit equally	Use -dem to compare math expressions for equality.  Use -xim to assign a symbol's value.
r		1.1.1	repeat,recur,again,prototype	rik#r	/sun/huan	rurs.us	genza	pia,plm,qkm,tfr	sur		$x_1$ is a recurrent instance of prototype $x_2*$	X1 automatically has many X2's.  Use for non-distinguishable particles in quantum mechanics.
r		1.1.1	substitute,replace	s#bstytut	!dai!iuw|pin	vikary.us	basti*		viy		$x_1$ is a substitute for original $x_2$ in activity or function (vo) $x_3+1$,2	
r	11	1.1.1,1.1.7	exceed,more,less	eksid	!guw/u	egredy	mordu		gre		$x_1:$ exceeds $x_2:$ in quality (vo) $x_3+1$,2	
r		1.1.1,1.5.4	reverse,opposite	ap#zyt	-siaw|fan	kontrary.us		vri,vry	fay		process (vo) $x_1@!$ occurs in the reverse order from process (vo) $x_2+$	
r		1.1.1,1.5.4	opposite	opozyt	-siaw|fan	advers.us	bufpo	gr,sra	ver		$x_1$ is opposite $x_2*$ in dimension (xu-vo) $x_3+1$,2	As in high--low.
r		1.1.1,1.5.4	reverse	rivrs	-siaw|fan	kontrari.um	fanve	fau,vry,fay	vri		list (xy) $x_1s$ is in reverse order from list (xy) $x_2s*$	
r	16	1.1.1,1.5.5	differ	dyfr	!bu/tuw	aly.us	retca		bwy		$x_1:$ differs from $x_2:$ in dimension (vo) $x_3+1$,2	
r		1.1.1,1.5.5	similar,like	laik	-siaw!sz	symyl.ys	clika	xor	smy	simsa	$x_1:$ is similar to $x_2:$ in fitting predicate (vo) $x_3+1$,2	
r		1.1.1,2.3.7	compare	kumpar	|bi|jiau	kompar.are	kambi		par		actor $x_1$ compares $x_2:$ to $x_3:$ on dimension (vo) $x_4+2$,3	
r		1.1.1,3.7.4	similar,scale,congruent	symylr	!lei!sz	par		smy	slr		object $x_1$ is like prototype $x_2$ multiplied IEC scale (xu) $x_3*$	Geometrically similar; same shape but different size.  Use -slr =co for congruent.
r		1.1.1,4.4.6,1.5.6	relate,predicate	rilait	|jiaw	kognat.us	kunci	qin,skam	gna		relation (vo) $x_1+$ has arguments $x_2=$ repeated as needed	X2, X3, etc. are in the same referent set member in unspecified cases.  No case merge for X1.
t		1.1.2	Sets	-	-	-			112			
r		1.1.2	subset	s#bset	-				bem		(xy) $x_1s$ is a subset of superset (xy) $x_2s$ with members (xa) $x_3*$	Give the defining property in X3; X1 = X2 intersect X3.
r		1.1.2	same	saim	-i!iaw	ydem	samto	dom,qaw	dem		the referents of $x_1:$ are the same as the referents of $x_2:$	
q		1.1.2	group,set	grup	/tuan	katerva	grupa	sto,diu	gvu		(xy) $x_1s$ is a group with members $x_2*$ in extension	A set of people
q		1.1.2	class,set	klas	-	gen.us	klesi	sto	vge		(xy) $x_1s$ is a class with members $x_2*$	A class may be a member of itself while a set may not.  See ``Russell's paradox''.  Use -diu -sui for learning team.
r		1.1.2	intersection	yntersekqn	/h#w-cie	sek.are		cra	sew		$x_1:$ is a member of the intersection of set (xy) $x_2s=$ repeated as needed	
q		1.1.2	set	set	!tau	kongery.es	setci	vge,vdr,tla,sty,gvu	sto		(xy) $x_1s$ is a set of members $x_2*$ in extension	Use -tla when each member is given in a separate argument.
q		1.1.2	list	lyst	|biau	tabula		sty,tla	stl		(xy) $x_1s$ is a list with members (xu) $x_2=$ repeated as needed, in that order	An ordered set.  -xu default because -stl is used for vectors, dates, etc.
q		1.1.2	list,sort,order	lyst	|biau	tabula	lista	stl,sto	sty		list (xy) $x_1s$ is a list of set (xy) $x_2s$ in order (vo) $x_3+PS2$,1	
r		1.1.2	except	eksept	/cu-fei	praiter			tei		$x_1:$ is a member of the intersection of (xu) $x_2:s$ and the complement of (xu) $x_3:s$	
r		1.1.2	set	set	!tau	konlat.yo		sto,stl,fy	tla		(xa) $x_1$ is one of members $x_2=?$ repeated as needed	Use -xu to get the set.
q		1.1.2	system	systm	!siy|tuw	rat.yo	sisto	cin,fwa,brm,gme	tsy		(xy) $x_1s$ is a system of parts $x_2$ with function (xi-vo) $x_3+1$	An organized set of parts.
r		1.1.2	equivalence	ikuyvalens	-qaw|duw-de				vae		$x_1:s$ is an equivalence class of class (xy) $x_2s$ using equivalence relation (vo) $x_3+P2$	
r		1.1.2	exclusive~or,alternation	eksklusyv				xiw,zny	vlu		$x_1:$ is a member of the exclusive union of (xy) $x_2:s=$ repeated as needed	Exclusive or: X1 is in an odd number of argument sets.
r		1.1.2	iff,if-only-if,equivalent	iff				vlu,sew	xiw		$x_1:$ is a member of the intersection of (xy) $x_2:s=$ repeated as needed, or of all their complements	
r		1.1.2	union,or	iuni#n	/lian/h#	yunkt.yo			xun		$x_1:$ is a member of the union of (xy) $x_2:s=$ repeated as needed	
r		1.1.2	infer,imply	ymplai	/han!i	sygnyfyk.are		sny,klu	zny		$x_1:$ is a member of the union of (xy) $x_2:s$ and the complement of (xy) $x_3:s$	Use this for a setwise inference.
q		1.1.2	member	membr	-duw!shr	sodal.ys	djori	sto,zdi	vdr		$x_1$ is a member of set (xy) $x_2s*$	Conversion of -sto.
r		1.1.2,1.5.4	none	n#n	-dou/mei	nemo	notbi	dem,ple	dom		none of the referents of $x_1:$ are referents of $x_2:*$	
r		1.1.2,1.5.4	complement	komplement	|bu/dzu	komplement.um		dom	ple		$x_1:$ is a member of the complement set of (xy) $x_2:s*$ relative to universal set (xy) $x_3:s$	
q		1.1.2,4.6.2	family	famyli	-jia/ren	famylya	famji		kfa		(xy) $x_1s$ is a family with members $x_2*$ in extension	Includes nonhumans.
q		1.1.2,4.6.3	orchestra	orkestr#	!ue!duei		bendu		xde		(xy) $x_1s$ is an orchestra, musical performance group	
r		1.1.2,4.6.4	team	tim	!duei	iug.um		gvu	diu		(xy) $x_1s$ is a team for activity (vo) $x_2+1$	X1 members do X2 collectively.  X1 is an organized group.
q		1.1.2,4.7.4	committee	kamyti	|duw!qr!bu	konsily.um	kamti		kqy		(xy) $x_1s$ is a committee of organization (xy) $x_2s$ with job (vo) $x_3+1$	X1 is a subset of X2.
t		1.1.3	Parts and Members of Sets	-	-	-			113			
r		1.1.3	boundary,edge,border,end	border	-bian!jie	margo		fni,xyn	bor		$x_1s$ is the boundary of region (xy) $x_2s*$ with topology (xy) $x_3s$	Includes ends of a long object as a set.
r		1.1.3	part,system	part	!bu!f#n	membr.um	parti	gme,tsy	brm		$x_1$ is a part of system $x_2s*$	X1 is in place or it can be put in and X2 will work.
r		1.1.3	mixture	mykstiur	|dzu/h#!u	mykstura	miksa	zar	dmy		(xo) $x_1$ is a mixture of component (xo) $x_2=$ repeated as needed	Like paint; use -sew for overlaps like blue-gray.
r		1.1.3	piece	pis	!bu!f#n	fragment.um	pisku	brm,tsy,qno	gme		$x_1$ is a piece of system $x_2s*$	X1 is detached as if broken off.
r		1.1.3	local	lokl	/jiu!bu	regyon.ys	lokti		gon		$x_1:$ occurs only in region $x_2s*$	Typically X2 is a territory of land; or it can be a set.  X1 is typically a thing but can be an event.
r		1.1.3	special	speql	!t#/bie	praekypu.#s	spebi		pey		$x_1$ is special among set (xy) $x_2s$ in fitting event (vo) $x_3+1$	
q		1.1.3	few	fiu	!qau!qu	pauky	ri	vdu,pql	pqu		set (xy) $x_1s$ has few members $x_2$, in extension	
r		1.1.3	detail	ditail	/siaw!si	syngula	citlu		sia		$x_1$ is a detail of system (xy) $x_2s*$	
r		1.1.3	slice	slais	!pian		panle*		sli		$x_1$ is a slice of object $x_2*$	A (usually) flat piece removed by cutting.  X2 is typically food, e.g. a melon or a portion of meat.
q		1.1.3	many	meni	-duo	multy	re	pqu,fto	vdu		set (xy) $x_1s$ has many members $x_2$, in extension	
r		1.1.3	mixture,medley	myksti#r	/dza!s#	farago	miksa	dmy	zar		$x_1s$ has parts in set (xu) $x_2:=$ repeated as needed	For red, white and blue flag.
r		1.1.3,1.2.5	chief,highest,most,extreme	most	!dzuei	maksyme	cefli		sym		$x_1:$ is most in set (xy) $x_2s$ on dimension (vo) $x_3+S2$,1	Dimension typically is ``importance'' but there is no default.  Ties for X1 are possible.
r		1.1.3,1.3.3	rare,unusual	rer	-si|iou	rar.us	rirci*		zer		$x_1:$ is rare among set (xy) $x_2s$ in property (vo) $x_3+1$,S2	Few X2 members are X3, but X1 is one of them.
r		1.1.3,3.7.4	first,begin,next,least	bigyn	|ci	ynyty.um	satci	fne,tl,sym	bny		$x_1:$ is next in list (xy) $x_2s*$ after origin $x_3$	For lists, processes or oriented objects.  First or least member without X3.  |pa for N'th from X3 or |tepa for initial segment.
r		1.1.3,3.7.4	last,end,previous,most	end	/jie	fyn.ys	fando	bny,sym	fne		$x_1$ is previous in list (xy) $x_2s*$ before origin $x_3$	For lists, processes or oriented objects.  Tail or largest member without X3.  |pa gives N'th from X3 or |tepa for end segment.
r		1.1.3,3.7.4	range	rainj	!fan/uei		ranjo	biar,bor	fni		process $x_1s$ ranges over set (xy) $x_2s*$	Use -xu F for the range of a function.
r		1.1.3,4.1.6	decoration,adorn	adorn	-juaw!qr	orn.are	durna		dor		$x_1$ is a decoration or adornment on system $x_2*$	
r		1.1.3,4.4.5,1.5.1	example,illustrate	eksampl	|baw!iaw	eksempl.um	mipli	sur,bya	plm		$x_1$ is an example member of set (xy) $x_2s*$	A member of X2 which illustrates clearly what kind of thing is in it.
t		1.1.4	Objective Relations of Persons	-	-	-			114			
r		1.1.4	encounter,meet	mit	!iu!jian	obvy.us	jmite	twa,cra	jiy		$x_1:$ meets, encounters $x_2:*$	
q		1.1.4	affair	afer	!qr-cyw	res	ferci	twa,ftr	qcy		(vo) $x_1$ is an affair involving persons (xy) $x_2s*$	Meaning is close to -za -twa = interact.
r		1.1.4,1.5.1	relevant,possess,my,pertinent	p#zes	-de	posesyv.us	pe	bou,pry,kio	zey		$x_1:$ is pertinent or relevant to thing $x_2:*$	For ``possessive'' constructions like ``my hat'' where X1 = hat, X2 = me.  Ownership not required.
r		1.1.4,2.1.4	polite	polait	|iou|li/mau	urban.us	clite*		bai		$x_1:$ is polite to $x_2:$ by action (vo) $x_3+1$	No automatic replication of X2 into X3.
r		1.1.4,2.1.6,4.7.1	power	paur	/cuan!biw	ymperi.um	porli	toa	per		$x_1:$ has power over person $x_2$ in affair (vo) $x_3+2$	Typically X3 is something X2 has to do.
r		1.1.4,2.3.5	analyse,conclusion	analayz	-fen|jie	eksplyc.are	lanli*		gly		thinker $x_1$ analyses object $x_2$ with the conclusion (vo) $x_3+2$ from input data (vo) $x_4+2@$	
r		1.1.4,4.6.2	spouse,marry	mari	/jie-hun	matrymon.yo	merji		jym		$x_1$ is married to spouse $x_2$	
r		1.1.4,4.7.1	own	on	|iou	hab.ere	ponsu	zey,kio	bou		owner $x_1$ owns property $x_2*$	Use -zey for ordinary possessive.  |gul for the law or |tue for a culture.
t		1.1.5	Subjective Relations of Persons	-	-	-			115			
r		1.1.5	friend	frend	/p#w-iou	amyk.us	fremi	cmi	fre		$x_1$ is a friend of $x_2:$	
r		1.1.5	neutral,struggle	nutr#l	-juw!li	medy.us	nutra		jul		$x_1$ is neutral while participants (xy) $x_2s$ have struggle (vo) $x_3+S2$	
r		1.1.5,1.2.1	peace	pis	/pin-gan	paks	pismi	cmi	pin		$x_1:$ is at peace with $x_2:$	
r		1.1.5,2.1.7	enemy,struggle	enemi	/cou/di	ynymyk.us	nemdi	pin,fre	cmi		$x_1$ is an enemy of $x_2:$ in affair or struggle (vo) $x_3+$	
r		1.1.5,2.3.6	interest	yntrest	|hau-tiw	ten.ere	treci	kre	tew		$x_1$ is interested in subject $x_2$ because it does (vo) $x_3+2$	Not for rent on money.
r		1.1.5,2.5.1	rely,depend	rilai	!sin!ren	fyd.ere	lacri*		fri		$x_1:$ relies on fiduciary $x_2$ to do action (vo) $x_3+2$	
t		1.1.6	Relations of Activities	-	-	-			116			
r		1.1.6	formal	forml	!jew!qr	rit.us	forma	fma,zia,gul,qre,tri	jrm		activity (vo) $x_1+$ is done formally	By standard or expected plans or rules.
q		1.1.6	random,accident	rand#m	/suei!bian	tem.ere	canse	kau,qun	psm		process (vo) $x_1$ is accidental or random	Not necessarily bad.  Use -psm |stu for bad luck.  ``There is no such thing as bad luck.''
r		1.1.6	proxy,test,valid	test	!qr!ian		pruci	fta,pyn,sen,vju	qne		examinee $x_1$ being/doing test (vo) $x_3+1@!$ is a proxy measure for having real quality (vo) $x_2+1$	|sen for tester, |pyn for interpreter, and |fta for standard.  -za -qne means valid.
q		1.1.6	possible	posybl	|k#/n#w	pose	blicu	bal,pwo,zba	spo		event (vo) $x_1+$ is possible	Has a low but nonzero probability.
q		1.1.6	likely,probable	laikli	|k#/n#w	probabyl.ys	blicu	bal,spo	zba		event (vo) $x_1+$ is likely	Has a high probability.
r		1.1.6,1.3.6,1.4.4	location,place	lokaqn	!di-faw	loky	sitfa	jir	qlo		$x_1M5$ is the location of event (vo) $x_2+$ relative to origin (vo) $x_3@$	On X2 and X3 do not use -xe even for ``things''; let the default -vo turn things into events.
q		1.1.6,1.5.2	standard,rule	standrd	-biau|jun	regula		qre,gul,qne	fta		$x_1s$ is a standard or set of rules by which (vo) $x_2:+$ can be asserted	Normally X2 IS asserted (use -ge).
r		1.1.6,1.5.2,1.5.6	manner,way	uai	!iaw.-dz	mod.us	forma	fma,jrm	zia		(vo) $x_1@$ is the way or manner in which activity (vo) $x_2+$ is done	Typically used as an argument; otherwise, just apply the X1 predicate to X2.
r		1.1.6,1.5.3	likely,probable,consequence	laikli	/ie|qu	probabyl.ys	dakli	spo,zba	bal		if antecedent (vo) $x_1@$ happens, it is likely that consequence (vo) $x_2+$ also will	
r	11	1.1.6,1.5.3	cause,consequence	kauz	|qr	fak.ere	ckozu	qma,kmo,sny,psm	kau		antecedent (vo) $x_1@$ causes consequence (vo) $x_2+$	Cause is mechanical.  Use -kmo for motivation.
r		1.1.6,1.5.3	motivation,motive	motiv	|li/iou	kausa	modvi	kau	kmo		antecedent (vo) $x_1@$ is a motivation for consequence (vo) $x_2+$	Buried in X2 is an actor with free will, and X1 induces him to choose to act.
r		1.1.6,1.5.3	purpose,act	purp#s	!mu-di	konsyly.um	zukte*		syl		(vo) $x_1@$ is the purpose for which actor $x_2$ does action (vo) $x_3+2$	
r	8	1.1.6,1.5.3	reason,because	riz#n	/uan-in	kausa	raznu		zni		antecedent (vo) $x_1+$ is done because of consequence (vo) $x_2@$	X2 is a consequence of X1 that motivates someone to do X1 thereby causing X2.  Don't state X2 negatively.
q		1.1.6,2.4.8	process,stage	prases	-faw|fa	rat.yo	prase	sur	pse		process $x_1$ proceeds through list of stages (xy) $x_2s$	
r		1.1.6,3.4.3,1.5.6,4.4.6	event,argument	ivent	!qr!jian	fakt.um	vetci	gna,tua,dlmo	qin		(vo) $x_1$ is an event having argument $x_2$ in some case	-zu -qin for argument; -zu -qin |pa for a numbered case.
q		1.1.6,3.7.4	error	er#r	!tsuo!u	eror	tsero	dve,sfa,go	tso		(vo) $x_1$ is an error	|fta for the standard.
r		1.1.6,3.7.4,1.5.3	necessary,condition	nesesari	!bi-siu	nekesary.us	nerbi	sno,bni,spo,xen	sar		antecedent (vo) $x_1@$ is a necessary condition for consequence (vo) $x_2+$ to occur	Use -bni for X1 needs to do X2.
r		1.1.6,3.7.4,1.5.3	sufficient,condition	s#fyqnt	/dzu!gou	sat.ys	tsufi	bni,sar,gou,zuy,guo	sno		antecedent (vo) $x_1@$ is a sufficient condition for consequence (vo) $x_2+$ to occur	
r		1.1.6,1.5.3	condition,state,status	k#ndyqn	/ciw-qiw	stat.us		kaw	qiw		activity (vo) $x_1+3@$ is done under condition (vo) $x_2+3$ by actor $x_3$	
r		1.1.6,3.7.4,1.5.3	logic,imply,entail	ymplai	/han!iy	sygnyfyk.are	snola	zny,kau	sny		antecedent (vo) $x_1@$ logically entails consequence (vo) $x_2+$	For definitions and theorems; use -kau for causation.  |sya for axioms, |qre for rules of logic.
t		1.1.7	Relations about a Quality	-	-	-			117			
q	14	1.1.7	very,more,such,particularly,fairly	suc	/ru|tz#	tot		vdu,pql	fto		$x_1:$ is more than usual or expected in dimension (vo) $x_2+1$,S3 for members of set (xy) $x_3s$	|fta for the standard.  -gl -fto means fairly, i.e. at the high end of the usual range.
r		1.1.7	excess	ekses	!guo!du	nim.ys	tsufi	sno	guo		$x_1:!$ is more than enough for consequence (vo) $x_2+1@$ in dimension (vo) $x_3+1$	Not necessarily a bad thing.
r		1.1.7	enough	in#f	/dzu!gou	sat.ys	tsufi	sno,zuy	gou		$x_1:!$ is sufficient for consequence (vo) $x_2+1@$ in dimension (vo) $x_3+1$	
r		1.1.7	almost,quite,barely	almost	-ji-#u	paene	cnire	gou	jmo		$x_1:!$ is not quite sufficient for consequence (vo) $x_2+1@?$ in dimension (vo) $x_3+1$	Default X2 is ``to qualify as X3+1'', e.g. ``almost cooked''.  -gr-jmo means barely.
q	11	1.1.7	only,less,just,somewhat	les	|jr!qr	tant.us		pqu,fto	pql		$x_1:$ is less than usual or expected in dimension (vo) $x_2+1$,S3 for members of set (xy) $x_3s$	|fta for the standard.  -gl -pql means somewhat, i.e. low end of usual range.
q		1.1.7	accurate,precise	akiur#t	-jiw!mi	verus			vju		(vo) $x_1:$ is accurate	|pa for how accurate, same units as X1.  Use -vju |slr !sa -pa for precision in ratio units.  Use -za -qne for valid. 
r		1.1.7	lack	lak	!bu/dzu	kar.ere	clesi	kio,xno,fpw	zua		$x_1:$ lacks, has no (xa) $x_2:*$	Use for objects and servings.
r		1.1.7	insufficient	ynsufyqnt	!bu/dzu	par.um	tsufi	sno,gou	zuy		$x_1:!$ is insufficient for consequence (vo) $x_2+1@$ in dimension (vo) $x_3+1$	
q		1.1.7,1.3.2	regular,uniform,homogeneous	regiulr	|iou!jr-su	kert.us	vitci*	qkl,kym	gvr		set (xy) $x_1s$ is regular or uniform in property (vo) $x_2+S1$	Members of X1 fit X2 to about the same degree.  If X1 is not obviously a set, consider its parts.
q		1.1.7,1.3.2	irregular,nonuniform	yrregular	!bu|jew/ci	ynaekual.ys	vitci*	gvr	qkl		set (xy) $x_1s$ is irregular or nonuniform in property (vo) $x_2+S1$	If X1 is not obviously a set, consider its parts.
q		1.1.7,1.3.2	miscellaneous	myselani#s	|dza!qiaw	vary.us	vrici*		vdw		set (xy) $x_1s$ is miscellaneous in property (vo) $x_2+S1$	Does not fit in obvious groupings by that property.
r		1.1.7,1.5.6	degree,quantity,amount	#maunt	!liaw	alykuot	kanli	tme,ful	kun		$x_1:$ IEC the amount, degree or quantity of (vo) $x_2:+$	For a predicate V for which |pa specifies some amount, -kun -V can recover that amount.
r		1.1.7,1.5.6	quality	kualyti	-pin/jr	natura	katli	qin,gre,sym	tua		(vo) $x_1+2$ is a quality that $x_2:$ has	Use -sym or -gre for ``high quality''.  Note unusual case merge.
t		1.1.8	Miscellaneous Relations	-	-	-			118			
r	11	1.1.8	connect	kunekt	!cuan	adlyg.are	djine	fen	cun		part $x_1$ connects to part $x_2$ of system $x_3$	
r		1.1.8	relevant,pertinent	prtynent	|qu/u	pertyn.ere	perti	zey	pry		$x_1:$ is pertinent or relevant to affair (vo) $x_2+$	
q		1.1.8	problem	prablem	!uen/ti	kuaest.yo	nable	xue,pon	stm		(bi) $x_1$ is a problem on the subject (vo) $x_2!$	A question for students to answer, thereby to learn.
r		1.1.8,1.5.6	state,status,situation,condition	k#ndyqn	/ciw!kuaw	stat.us	tcini*	qiw	kaw		object $x_1$ has the status (vo) $x_2+1$	X2 is a phrase about X1, typically showing its progress in some process or its readiness for operation.
r		1.1.8,1.5.6	serving,portion,piece	porqn	!fen	pars	canli	qka	qno		$x_1$ is a serving/portion of substance (xo) $x_2*$	Use container word (4.1.1, 4.1.2) to express quantity, or put a unit predicate on the serving.
r		1.1.8,1.5.6	all,common	al	!uan!u	omn.ys	kumtu		znu		all (xy) $x_1:s$ members fit the first case of property (vo) $x_2+S1$	Emphasizing that X2 is a common property of X1 members.
q		1.1.8,1.5.6,4.4.6	event,occur	ivent	-fa-qew	fakt.um	venci	qyn	cfa		(vo) $x_1$ occurs	Or: X1 is an event.  
q		1.1.8,3.4.3,3.7.4	real,exist	eksyst	/tsun!dzai	ekst.are	dzabi	qkr,dve	stw		$x_1$ exists in reality	|sen for the experiencer.  It is very hard to authoritatively assert -stw.  Instead assert that you believe it (-cre or -xou) or that it is a fact (-qkr).
r		1.1.8,4.4.5	metaphor	metafor	|bi!u	translat.yo		smy	xor		$x_1:$ its qualities are represented as a metaphor $x_2$ in dimension (vo) $x_3+1$,2	
r		1.1.8,4.4.6	compatible,fit	fyt	/he!shr	kongruens	mapti*		gne		$x_1:$ fits with $x_2:$ in relation (vo) $x_3+1-2$	X3 is a relation between X1 and X2.
t		1.2.0	General Properties  	-	-	-			120			
t		1.2.1	Noncomparative Properties	-	-	-			121			
r		1.2.1	broken	brokn	!nuw!puo	frang.us	broda	bro	brn		$x_1$ is broken	In pieces.  Use -gr -pwo -sao for ``cannot operate''. 
r		1.2.1	open	open	|da-kai.-de	apert.us	kapni	klo	dae	kalri1=>1	$x_1$ is open	Things can go in and out of interior.
q		1.2.1	poison	poiz#n	/du	venen.um	vendu		gve		$x_1$ is poisonous to potential victims (xi) $x_2*$	
r		1.2.1	close	klos	-guan	klaudy	klogu	tao,dae	klo	ganlo1=>1	$x_1$ is closed	Things cannot go in and out of the interior.
r		1.2.1	private	praiv#t	-sz/ren	propry.us	prizi	bly	pro		$x_1$ is private to person $x_2*$	|tue for the culture.
r		1.3.5	wet	uet	-qr	umid.us	cetlo	ksy	qum		$x_1$ is wet with liquid (xo) $x_2*$	Typically water.
r		1.2.1	clear	klir	-kon-jien	exped.yre	klina*	sar,sir	xen		$x_1$ is clear for event (vo) $x_2+$ to happen	Makes no obstacle.  Necessary conditions for X2 about X1, typically being empty, are true.
r		1.2.1,2.1.3	immune,prevent,disease,fault,vaccine	ymiun	|mien!i	ymun.ys	vaksi	kme	xym		$x_1:$ is immune to disease or fault (vo) $x_2+1$ due to preventive action (vo) $x_3+1@!$	For vaccine V, let X3 be -za ^taw -xyn !V (inject V).
